"moydow","pctlead_after_down_pctlag","pctlead_after_up_pctlag"
"01_1",3.18,0.36
"01_2",20.11,0.23
"01_3",2.14,1.85
"01_4",-8.76,-6.88
"01_5",7.05,-2.34
"02_1",7.02,-9.33
"02_2",9.27,-3.71
"02_3",-6.39,-1.93
"02_4",-1.15,-5.9
"02_5",-4.88,1.25
"03_1",18.17,2.08
"03_2",6.51,-4.04
"03_3",2.68,13.89
"03_4",2.47,-4.82
"03_5",2.6,6.37
"04_1",15.18,10.21
"04_2",-1.43,8.07
"04_3",15.48,14.78
"04_4",-13.12,1.08
"04_5",6.05,-5.62
"05_1",-1.22,-2.76
"05_2",5.39,-2.24
"05_3",-3.08,-4.67
"05_4",1.79,0.09
"05_5",12.09,10.47
"06_1",4.63,1.3
"06_2",-1.18,1.52
"06_3",2.77,-1.05
"06_4",-3.87,-0.82
"06_5",7.77,-11.79
"07_1",-1.36,-7.53
"07_2",5.71,7.73
"07_3",16.3,2.06
"07_4",-2.31,-3.22
"07_5",-6.9,6.48
"08_1",-1.45,-0.07
"08_2",6.35,13.21
"08_3",-6.73,-17.42
"08_4",4.83,-6.54
"08_5",-15.75,7.63
"09_1",13.85,-8.01
"09_2",-1.58,-9.89
"09_3",-14.18,0.02
"09_4",8.21,2.49
"09_5",9.05,-9.95
"10_1",5.81,-0.04
"10_2",-13.76,-9.66
"10_3",0.02,19.05
"10_4",2.94,4.92
"10_5",13.41,12.39
"11_1",8.07,-1.27
"11_2",10.73,-8.39
"11_3",3.03,10.49
"11_4",4.46,8.42
"11_5",-5.28,4.61
"12_1",14.15,2.03
"12_2",-1.78,13.02
"12_3",-5.89,-4.37
"12_4",9.86,13.1
"12_5",7.69,9.16
